057620000036G2710;Kellberg
057620000036G2720;Kernstraße
057620000036G2730;Kerspöhle
057620000036G2740;Kilianstraße
057620000036G2750;Kirchstraße
057620000036G2760;Kirchberg
057620000036G2770;Kirchplatz
057620000036G2780;Kleebrede
057620000036G2790;Klingenburger Straße
057620000036G2800;Klostergut
057620000036G2810;Klockenstraße
057620000036G2820;Klosterstraße
057620000036G2830;Klusmühle
057620000036G2840;Knickhagen
057620000036G2850;Königsberger Straße
057620000036G2860;Königstraße
057620000036G2870;Kohlbreite
057620000036G2880;Kollwitzstraße
057620000036G2890;Konrad-von-Soest-Straße
057620000036G2900;Kreutzfeld
057620000036G2910;Kreuzkirchstraße
057620000036G2920;Kriminixstraße
057620000036G2930;Kuhlemühler Weg
057620000036G2940;Kuhtrift
057620000036G2945;Kurgartenblick
057620000036G2950;Kurze Breite
057620000036G2970;Landfurt
057620000036G2980;Lange Ricke
057620000036G2990;Lange Straße
057620000036G3000;Lange Twete
057620000036G3010;Lange Wanne
057620000036G3020;Laubenallee
057620000036G3030;Laukerweg
057620000036G3035;Laurentiusweg
057620000036G3040;Lawinkelhöfe
057620000036G3045;Ledegemstraße
057620000036G3050;Lehmkuhle
057620000036G3060;Lehmweg
057620000036G3070;Lerchenweg
057620000036G3071;Lessingstraße
057620000036G3080;Liboriusgässchen
057620000036G3090;Liebfrauentwete
057620000036G3100;Liegnitzer Straße
057620000036G3110;Lindenhofstraße
057620000036G3120;Lindenweg
057620000036G3130;Lingerbreite
057620000036G3135;Luckaustraße
057620000036G3140;Lütgenederer Straße
057620000036G3150;Lütgerweg
057620000036G3160;Lütkefeld
057620000036G3170;Margarethenhöhe
057620000036G3180;Margarethenweg
057620000036G3190;Marienweg
057620000036G3200;Markt
057620000036G3210;Marktstraße
057620000036G3220;Maschweg
057620000036G3230;Mastfeld
057620000036G3240;Max-Beckmann-Straße
057620000036G3250;Meisenweg
057620000036G3260;Menner Straße
057620000036G3262;Menner Weg
057620000036G3265;Milanhöhe
057620000036G3270;Mittelstraße
057620000036G3275;Molkereiweg
057620000036G3280;Mönchhof
057620000036G3290;Mozartstraße
057620000036G3300;Muddenkamp
057620000036G3310;Mühlenweg
057620000036G3320;Nauretal
057620000036G3330;Neu Calenberger Weg
057620000036G3340;Neuer Graben
057620000036G3350;Neuer Weg
057620000036G3360;Neue Siedlung
057620000036G3370;Neues Tor
057620000036G3380;Nikolausstraße
057620000036G3390;Nörder Straße
057620000036G3400;Nordstraße
057620000036G3410;Northeimer Straße
057620000036G3420;Nussbreite
057620000036G3430;Obere Bergstraße
057620000036G3440;Obere Hilgenstock
057620000036G3445;Oberer Weg
057620000036G3450;Obere Sülte
057620000036G3460;Obere Wiese
057620000036G3470;Öhrkamp
057620000036G3480;Ohmeweg
057620000036G3490;Ossendorfer Straße
057620000036G3500;Ostertwete
057620000036G3510;Ostheimer Weg
057620000036G3520;Oststraße
057620000036G3530;Paderborner Straße
057620000036G3540;Paderborner Tor
057620000036G3550;Papenheimer Straße
057620000036G3555;Pappelweg
057620000036G3560;Parchwitzer Straße
057620000036G3570;Parensengrund
057620000036G3580;Parkstraße
057620000036G3585;Pastor-Meyer-Weg
057620000036G3590;Paul-Klee-Straße
057620000036G3600;Peckelsheimer Straße
057620000036G3610;Pellenbreite
