strassenschluessel;bezeichnung
05512000000013830;Hansastraße
05512000000013836;Hansiepenbusch
05512000000013840;Hardenbergstraße
05512000000013860;Harkortstraße
05512000000013880;Haßlacherstraße
05512000000013891;Hauptstraße
05512000000013900;Haus-Hove-Straße
05512000000013920;Haverkamp
05512000000013940;Hebeleckstraße
05512000000013960;Heckenweg
05512000000013980;Hegelstraße
05512000000013991;Hegestraße
05512000000014000;Heidenheck
05512000000014020;Heidestraße
05512000000014031;Heideweg
05512000000014040;Heimannstraße
05512000000014060;Heimbruch
05512000000014071;Heimersfeld
05512000000014075;Heinrich-Grewer-Straße
05512000000014076;Heinrich-Gutermuth-Straße
05512000000014080;Heinrich-Heine-Straße
05512000000014085;Heinrich-Hertz-Straße
05512000000014090;Heinrich-Kämpchen-Straße
05512000000014100;Heinrich-Lersch-Straße
05512000000014110;Heinrich-Theißen-Straße
05512000000014111;Hemmers Pöhlken
05512000000014113;Hellen Straße
05512000000014115;Henry-Dunant-Straße
05512000000014120;Herderstraße
05512000000014133;Hermann-Gebauer-Platz
05512000000014140;Hermann-Löns-Straße
05512000000014160;Herzogstraße
05512000000014165;Hetkamp
05512000000014171;Heuweg
05512000000014173;Hiberniastraße
05512000000014175;Hiesfelder Straße
05512000000014180;Hochstraße
05512000000014191;Höhenweg
05512000000014200;Hölderlinstraße
05512000000014220;Höttkesweg
05512000000014225;Hövekesweg
05512000000014231;Hofkamp
05512000000014235;Hofwiese
05512000000014255;Hohe Heide
05512000000014261;Hoheheideweg
05512000000014265;Hohes Feld
05512000000014270;Holbeinstraße
05512000000014280;Holtfortstraße
05512000000014291;Holthausener Straße
05512000000014300;Holunderweg
05512000000014311;Holzfällerweg
05512000000014320;Horstbruch
05512000000014340;Horster Straße
05512000000014351;Horsthofstraße
05512000000014355;Horstkamp
05512000000014360;Hovermannstraße
05512000000014380;Hünefeldstraße
05512000000014400;Hüskensheide
05512000000014420;Hugo-Stinnes-Straße
05512000000014422;Hugo-Reckmann-Straße
05512000000014440;Humboldtstraße
05512000000014460;Husemannstraße
05512000000014480;Huyssenstraße
05512000000014491;Im Acker
05512000000014500;Im Beckedal
05512000000014520;Im Beckram
05512000000014540;Im Boytal
05512000000014546;Im Blankenfeld
05512000000014560;Im Brahmkamp
05512000000014565;Im Breil
05512000000014570;Im Brinkmannsfeld
05512000000014600;Im Dorbusch
05512000000014620;Im Emscherbruch
05512000000014640;Im Flaßviertel
05512000000014660;Im Fuhlenbrock
05512000000014666;Im Gewerbepark
05512000000014671;Im Grund
05512000000014680;Im Gungfeld
05512000000014700;Im Hülsfeld
05512000000014701;Im Kamp
05512000000014707;Im Johannestal
05512000000014711;Im Loh
05512000000014713;Im Mallingforst
05512000000014715;Im Mandel
05512000000014731;Im Nieland
05512000000014735;Im Pinntal
05512000000014740;Im Scheierbruch
05512000000014751;Im Schwarzwald
05512000000014755;Im Spring
05512000000014760;Im Springfeld
05512000000014780;Im Stadtgarten
05512000000014800;Im Sundern
05512000000014820;Im Tauschlag
05512000000014831;Im Venn
05512000000014835;Im Wenkendiek
05512000000014840;Im Werth
05512000000014860;Im Wildland
05512000000014880;Im Wilmkesfeld
05512000000014891;Im Winkel
05512000000014893;Imbuschstraße
05512000000014895;Imkerweg
05512000000014897;Immermannstraße
05512000000014900;In Boymannsheide
05512000000014911;In den Höfen
05512000000014920;In den Weywiesen
05512000000014940;In der Boverheide
05512000000014951;In der Bräuke
05512000000014955;In der Koppel
05512000000014960;In der Littersheide
05512000000014971;In der Miere
05512000000014980;In der Schanze
05512000000015000;In der Welheimer Mark
05512000000015010;Industriestraße
05512000000015040;Jahnstraße
05512000000015051;Johann-Breuker-Platz
05512000000015060;Johannesstraße
05512000000015067;Jolantstraße
05512000000015080;Josefstraße
05512000000015082;Josef-Albers-Straße
05512000000015084;Josef-Terwellen-Platz
