057620000008V1900;Zum Eggeberg
057620000008V2001;Bartholomäusstraße
057620000008V2010;Blumenstraße
057620000008V2020;Bornegrundstraße
057620000008V2030;Bühner Straße
057620000008V2040;Höhenweg
057620000008V2050;Hohler Weg
057620000008V2060;Holzbrunnenstraße
057620000008V2070;Klappenweg
057620000008V2080;Klingelburgstraße
057620000008V2090;Krokusstraße
057620000008V2100;Langenthaler Straße
057620000008V2110;Marktstraße
057620000008V2120;Neulandstraße
057620000008V2130;Rennestraße
057620000008V2140;Stiftweg
057620000008V2150;Talstraße
057620000008V2300;Am Kemperborn
057620000008V2305;Am Rotsberg
057620000008V2310;Am Teichberg
057620000008V2320;Am Ükern
057620000008V2330;Am Walde
057620000008V2340;Auf der Raste
057620000008V2350;Auf der Worth
057620000008V2355;Benediktstraße
057620000008V2361;Bonifatiusweg
057620000008V2371;Carolus-Magnus-Straße
057620000008V2380;Erlenhof
057620000008V2385;Eschenbruch
057620000008V2390;Fährstraße
057620000008V2400;Friedhofsweg
057620000008V2410;Heristalstraße
057620000008V2421;Idenhof
057620000008V2430;In der Grund
057620000008V2440;Karlstraße
057620000008V2450;Lindenhof
057620000008V2460;Marksfeld
057620000008V2470;Rastefeld
057620000008V2480;Rothestraße
057620000008V2490;Schiewe Halbe
057620000008V2500;Schifferstraße
057620000008V2510;Steinbreite
057620000008V2520;Torbreite
057620000008V2530;Westfalentor
057620000008V2650;Auf dem Westerfelde
057620000008V2675;Auf der Heide
057620000008V2700;Brunnenweg
057620000008V2710;Corveyer Straße
057620000008V2720;Haddenbergstraße
057620000008V2730;Hartweg
057620000008V2740;Jakobusstraße
057620000008V2741;Michelsweg
057620000008V2742;Vor der Hort
057620000008V3000;Borgholzer Straße
057620000008V3010;Eilsen
057620000008V3021;Glockenweg
057620000008V3030;Rother Winkel
057620000008V3040;Wiehorn
057620000008V3195;Am Grundberg
057620000008V3200;Am Hesseberg
057620000008V3210;Am Maibusch
057620000008V3220;Auenhauser Weg
057620000008V3231;Brakeler Straße
057620000008V3240;Bruchhauser Weg
057620000008V3245;Lammertweg
057620000008V3250;Prüssenstraße
057620000008V3260;Struwestraße
057620000008V3270;Tietelser Straße
057620000008V3400;Am Bahndamm
057620000008V3410;Auf dem Pfuhl
057620000008V3415;Baumschulweg
057620000008V3420;Bruchweg
057620000008V3430;Fischerplatz
057620000008V3435;Forsthaus Laue
057620000008V3441;Friedensstraße
057620000008V3450;Godelheimer Straße
057620000008V3460;Heggeweg
057620000008V3470;Herrenbruchstraße
057620000008V3480;Mönchsgarten
057620000008V3490;Paradiesstraße
057620000008V3500;Schloßhof
057620000008V3510;Stemmelstraße
057620000008V3520;von-Droste-Hülshoff-Straße
057620000008V3530;Vitusstraße
057620000008V3540;Weredunstraße
057620000008V3550;Zur Breite
057620000008V3701;Albert-Einstein-Straße
057620000008V3710;Alter Postweg
057620000008V3711;Am Wall
057620000008V3715;An den Pappeln
057620000008V3720;Auf der Schanze
057620000008V3721;Axelsee
057620000008V3730;Eichendorffweg
057620000008V3740;Feldstraße
057620000008V3750;Friedrich-Wilhelm-Weber-Straße
057620000008V3760;Gerhart-Hauptmann-Straße
057620000008V3770;Hessenweg
057620000008V3780;Im Kreis
057620000008V3785;Im Oberfeld
057620000008V3790;Karlshafener Straße
057620000008V3795;Knickweg
057620000008V3800;Lauenförder Straße
057620000008V3810;Max-Planck-Straße
057620000008V3820;Michaelstraße
057620000008V3830;Niedersachsenweg
